year2,state,size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,10,m. ALL,10476,11463,223122,220845,1954,17.6,1250,11.2,34819,14260,20559,6.5,15.8,30261,9058,21203,4.1,13.7,4558,2.1,27.4,0,809,810,5417
1977,11,a) 1 to 4,7051,7521,17222,16655,1756,23.8,1425,19.3,6557,4971,1586,29.8,39.4,5423,3870,1553,23.2,32.6,1134,6.8,65.2,0,917,920,2411
1977,11,b) 5 to 9,2877,3153,21585,21395,258,8.3,211,6.7,5587,3196,2391,14.9,26.1,5206,2668,2538,12.5,24.3,381,1.8,48.6,0,109,109,1347
1977,11,c) 10 to 19,1859,2109,29890,29581,137,6.5,114,5.4,6776,3596,3180,12.2,22.9,6157,2897,3260,9.8,20.8,619,2.1,41.6,0,58,58,1429
1977,11,d) 20 to 49,1205,1402,43721,43700,69,4.9,73,5.2,8893,4009,4884,9.2,20.4,8850,4257,4593,9.7,20.3,43,0.1,40.6,0,34,34,2002
1977,11,e) 50 to 99,420,481,34278,34851,26,5.4,25,5.2,7409,3445,3964,9.9,21.3,8554,3564,4990,10.2,24.5,-1145,-3.2,42.6,0,10,10,1399
1977,11,f) 100 to 249,215,244,40576,39780,12,4.9,9,3.7,10032,3813,6219,9.6,25.2,8440,3409,5031,8.6,21.2,1592,4,42.4,0,4,4,1311
1977,11,g) 250 to 499,67,75,26006,25352,2,2.7,0,0,5140,,,,20.3,3831,0,3831,0,15.1,1309,5.2,30.2,1,,,
1977,11,h) 500 to 999,30,35,25647,24196,2,5.9,0,0,5258,,,,21.7,2356,0,2356,0,9.7,2902,12,19.4,1,,,
1977,11,i) 1000+,26,29,58198,60854,0,0,0,0,3782,0,3782,0,6.2,9093,0,9093,0,14.9,-5311,-8.7,12.4,0,,,
